ID: 131 VCC: 26.55 V: -0 -0  -0 C: 0 0  0.0146628 O: -0 -0  -0 HERR: 0  0  0
ID: 132 VCC: 26.63 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 133 VCC: 26.59 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 134 VCC: 26.51 V: -0 -0  -0 C: 0 0.0244379  0 O: -0 -0  -0 HERR: 0  0  0
ID: 135 VCC: 26.51 V: -0 -0  -0 C: 0 0.0244379  0 O: -0 -0  -0 HERR: 0  0  0
ID: 136 VCC: 26.31 V: -0 -0  -0 C: 0.00977517 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 137 VCC: 26.51 V: -0 -0  -0 C: 0 0  0.0244379 O: -0 -0  -0 HERR: 0  0  0
ID: 138 VCC: 26.43 V: -0 -0  -0 C: 0.00488759 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 139 VCC: 26.55 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 140 VCC: 26.43 V: -0 -0  -0 C: 0 0.0195503  0 O: -0 -0  -0 HERR: 0  0  0
ID: 141 VCC: 26.35 V: -0 -0  -0 C: 0 0.0244379  0 O: -0 -0  -0 HERR: 0  0  0
ID: 142 VCC: 26.47 V: -0 -0  -0 C: 0.00977517 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 143 VCC: 26.35 V: -0 -0  -0 C: 0 0.00488759  0.0293255 O: -0 -0  -0 HERR: 0  0  0
ID: 144 VCC: 26.35 V: -0 -0  -0 C: 0 0.00488759  0.0293255 O: -0 -0  -0 HERR: 0  0  0
ID: 145 VCC: 26.47 V: -0 -0  -0 C: 0 0  0.0342131 O: -0 -0  -0 HERR: 0  0  0
ID: 146 VCC: 26.59 V: -0 -0  -0 C: 0 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 147 VCC: 26.51 V: -0 -0  -0 C: 0 0.00488759  0.0146628 O: -0 -0  -0 HERR: 0  0  0
ID: 148 VCC: 26.59 V: -0 -0  -0 C: 0.00488759 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 149 VCC: 26.35 V: -0 -0  -0 C: 0 0.0146628  0.00977517 O: -0 -0  -0 HERR: 0  0  0
ID: 150 VCC: 26.51 V: -0 -0  -0 C: 0 0  0 O: -0 -0  -0 HERR: 0  0  0
ID: 151 VCC: 26.59 V: -0 -0  -0 C: 0 0.0195503  0.00977517 O: -0 -0  -0 HERR: 0  0  0
ID: 152 VCC: 26.35 V: -0 -0  -0 C: 0 0.0244379  0.00488759 O: -0 -0  -0 HERR: 0  0  0
ID: 153 VCC: 26.35 V: -0 -0  -0 C: 0 0  0.0293255 O: -0 -0  -0 HERR: 0  0  0
